iter	Passed	Remaining
462	771	894
463	772	892
464	773	890
465	775	888
466	776	886
467	777	884
468	779	882
469	780	880
470	781	878
471	783	876
472	784	874
473	785	871
474	786	869
475	788	867
476	789	865
477	790	863
478	792	861
479	793	859
480	795	858
481	796	856
482	798	854
483	799	852
484	800	850
485	802	848
486	803	846
487	805	844
488	806	842
489	808	841
490	809	839
491	811	837
492	812	835
493	814	834
494	815	832
495	816	830
496	818	828
497	819	826
498	821	824
499	822	822
500	823	820
501	825	818
502	826	817
503	828	815
504	829	813
505	831	811
506	832	809
507	833	807
508	835	805
509	836	803
510	837	801
511	839	799
512	840	797
513	842	796
514	843	794
515	845	792
516	846	791
517	848	789
518	849	787
519	851	785
520	852	783
521	853	781
522	854	779
523	856	778
524	858	776
525	859	774
526	861	772
527	862	771
528	864	769
529	865	767
530	866	765
531	868	763
532	869	761
533	871	760
534	872	758
535	874	756
536	875	755
537	877	753
538	878	751
539	880	749
540	881	747
541	882	745
542	884	744
543	886	742
544	887	741
545	889	739
546	890	737
547	891	735
548	893	733
549	895	732
550	896	730
551	897	728
552	898	726
553	900	724
554	901	722
555	903	721
556	904	719
557	905	717
558	907	715
559	908	714
560	910	712
561	911	710
562	912	708
563	913	706
564	915	704
565	916	702
566	918	701
567	919	699
568	920	697
569	922	695
570	923	693
571	924	692
572	926	690
573	927	688
574	928	686
575	929	684
576	931	682
577	932	681
578	934	679
579	935	677
580	937	675
581	938	674
582	940	672
583	941	670
584	942	668
585	943	666
586	944	664
587	945	662
588	947	661
589	949	659
590	950	657
591	951	655
592	953	654
593	954	652
594	955	650
595	956	648
596	958	646
597	959	644
598	960	643
599	961	641
600	963	639
601	964	637
602	966	636
603	967	634
604	969	632
605	970	630
606	971	629
607	972	627
608	973	625
609	975	623
610	976	621
611	977	619
612	979	618
613	980	616
614	982	614
615	983	613
616	984	611
617	985	609
618	987	607
619	988	605
620	989	603
621	990	602
622	991	600
623	993	598
624	994	596
625	996	595
626	997	593
627	999	591
628	1000	590
629	1001	588
630	1002	586
631	1003	584
632	1004	582
633	1006	580
634	1007	579
635	1008	577
636	1010	575
637	1011	573
638	1012	572
639	1014	570
640	1015	568
641	1017	567
642	1018	565
643	1019	563
644	1020	561
645	1021	559
646	1023	558
647	1024	556
648	1026	555
649	1027	553
